artistname,artistURL,day,starttime,endtime,venue,category
Big Lean,https://schedule.sxsw.com/2018/artists/23506,"Mar 17, 2018",12:20am , 12:35am,Ironwood Hall,Hip Hop / Rap
Big Ro,https://schedule.sxsw.com/2018/artists/23241,"Mar 15, 2018",7:00pm , 7:15pm,University Avenue Church of Christ,Gospel
Big T,https://schedule.sxsw.com/2018/artists/23768,"Mar 17, 2018",None,TBD,TBD,Hip Hop / Rap
Big Tobz,https://schedule.sxsw.com/2018/artists/19902,"Mar 16, 2018",8:40pm , 9:10pm,The Main II,Hip Hop / Rap
Big White,https://schedule.sxsw.com/2018/artists/21640,"Mar 17, 2018",1:00am , 1:50am,The Sidewinder Outside,Rock
Big Wy's Brass Band,https://schedule.sxsw.com/2018/artists/23622,"Mar 13, 2018",8:30pm , 8:55pm,Empire Garage,Funk
Big Zuu,https://schedule.sxsw.com/2018/artists/21680,"Mar 15, 2018",11:00pm , 11:30pm,Container Bar,Hip Hop / Rap
Big Zuu,https://schedule.sxsw.com/2018/artists/21680,"Mar 16, 2018",9:00pm , 9:40pm,British Music Embassy @ Latitude 30,Hip Hop / Rap
Billa,https://schedule.sxsw.com/2018/artists/23028,"Mar 16, 2018",8:15pm , 8:25pm,Highland Lounge,Hip Hop / Rap
BillieB,https://schedule.sxsw.com/2018/artists/23182,"Mar 17, 2018",11:00pm , 11:30pm,Carver Museum Boyd Vance Theater,Blues
Billie Eilish,https://schedule.sxsw.com/2018/artists/18737,"Mar 16, 2018",10:00pm , 10:40pm,Lustre Pearl,Pop
Billie Eilish,https://schedule.sxsw.com/2018/artists/18737,"Mar 15, 2018",12:05am , 12:45am,Palm Door on Sixth,Pop
Billie Eilish,https://schedule.sxsw.com/2018/artists/18737,"Mar 14, 2018",11:20pm , 12:00am,Central Presbyterian Church,Pop
Billie Eilish,https://schedule.sxsw.com/2018/artists/18737,"Mar 15, 2018",9:00pm , 9:40pm,Mohawk Outdoor,Pop
Billyracxx,https://schedule.sxsw.com/2018/artists/21567,,None,TBD,TBD,Hip Hop / Rap
Billy Strings,https://schedule.sxsw.com/2018/artists/22390,"Mar 13, 2018",1:00am , 1:45am,18th Over Austin,Bluegrass
B.I.P.,https://schedule.sxsw.com/2018/artists/23003,"Mar 16, 2018",7:00pm , 7:10pm,University Avenue Church of Christ,Gospel
Bipolaroid,https://schedule.sxsw.com/2018/artists/22387,"Mar 15, 2018",11:00pm , 11:40pm,Lamberts,Rock
Bishop Briggs,https://schedule.sxsw.com/2018/artists/23724,"Mar 15, 2018",12:00am , 12:40am,Mohawk Outdoor,Pop
Bishop Gunn,https://schedule.sxsw.com/2018/artists/22716,"Mar 16, 2018",11:00pm , 11:40pm,The Hideout,Rock
The Bishops,https://schedule.sxsw.com/2018/artists/19235,"Mar 16, 2018",10:10pm , 10:25pm,Karma Lounge,Hip Hop / Rap
Blackberries,https://schedule.sxsw.com/2018/artists/18597,"Mar 15, 2018",11:00pm , 11:40pm,Friends,Rock
Black Guayaba,https://schedule.sxsw.com/2018/artists/17681,"Mar 16, 2018",11:00pm , 11:40pm,Speakeasy,Rock
Black Heart Saints,https://schedule.sxsw.com/2018/artists/18137,"Mar 17, 2018",8:00pm , 8:40pm,Dirty Dog Bar,Rock
Blackillac,https://schedule.sxsw.com/2018/artists/23682,"Mar 13, 2018",10:00pm , 10:25pm,Empire Garage,Hip Hop / Rap
Black Pistol Fire,https://schedule.sxsw.com/2018/artists/23413,"Mar 15, 2018",9:00pm , 9:40pm,Lustre Pearl,Rock
Black Prophet,https://schedule.sxsw.com/2018/artists/22141,"Mar 13, 2018",12:00am , 1:30am,Flamingo Cantina,World
Black Pumas,https://schedule.sxsw.com/2018/artists/23427,"Mar 13, 2018",9:00pm , 9:30pm,Parish,Soul
Blake,https://schedule.sxsw.com/2018/artists/21293,"Mar 14, 2018",11:30pm , 11:45pm,Ironwood Hall,Hip Hop / Rap
Blake Brown & The American Dust Choir,https://schedule.sxsw.com/2018/artists/17993,"Mar 16, 2018",10:40pm , 11:10pm,Stubb's Inside,Rock
BLANG,https://schedule.sxsw.com/2018/artists/23397,"Mar 13, 2018",9:30pm , 10:15pm,Plush,DJ
Blessed,https://schedule.sxsw.com/2018/artists/20387,"Mar 15, 2018",8:00pm , 8:40pm,720 Club,Punk
The Blind Suns,https://schedule.sxsw.com/2018/artists/20155,"Mar 15, 2018",1:00am , 1:50am,Hotel Vegas at Volstead,Pop
Blindur,https://schedule.sxsw.com/2018/artists/18352,"Mar 16, 2018",8:15pm , 8:55pm,Stephen F's Bar,Folk
Blonde Maze,https://schedule.sxsw.com/2018/artists/20674,"Mar 14, 2018",10:00pm , 10:40pm,The Iron Bear,Electronic
Blue Lab Beats,https://schedule.sxsw.com/2018/artists/17900,"Mar 14, 2018",1:00am , 1:40am,The Main II,Jazz
Blue Water Highway,https://schedule.sxsw.com/2018/artists/21073,"Mar 13, 2018",8:00pm , 8:40pm,Cooper's BBQ,Alt Country
Blushing,https://schedule.sxsw.com/2018/artists/17806,"Mar 15, 2018",11:45pm , 12:25am,720 Club Patio,Rock
Blvck Spvde,https://schedule.sxsw.com/2018/artists/23181,"Mar 13, 2018",9:45pm , 10:15pm,Parish,Soul
Blvck Spvde,https://schedule.sxsw.com/2018/artists/23181,"Mar 17, 2018",11:05pm , 11:25pm,Sheraton BackYARD,Soul
Bobo Swae,https://schedule.sxsw.com/2018/artists/23792,"Mar 16, 2018",10:35pm , 10:50pm,Cedar Street Courtyard,Hip Hop / Rap
BODEGA,https://schedule.sxsw.com/2018/artists/21077,"Mar 17, 2018",12:10am , 12:40am,Cheer Up Charlie's,Punk
BODEGA,https://schedule.sxsw.com/2018/artists/21077,"Mar 15, 2018",8:00pm , 8:40pm,Scoot Inn,Punk
Bodywash,https://schedule.sxsw.com/2018/artists/19868,"Mar 16, 2018",7:50pm , 8:25pm,Swan Dive,Rock
Bodywash,https://schedule.sxsw.com/2018/artists/19868,"Mar 17, 2018",1:30pm , 2:10pm,Flatstock Stage Austin Convention Center,Rock
Boggie,https://schedule.sxsw.com/2018/artists/19158,"Mar 16, 2018",11:00pm , 11:40pm,Palm Door on Sabine,Pop
BOGL,https://schedule.sxsw.com/2018/artists/23667,"Mar 17, 2018",8:40pm , 9:20pm,Barcelona,DJ
Bohemian Betyars,https://schedule.sxsw.com/2018/artists/18211,"Mar 15, 2018",12:30am , 1:10am,Flamingo Cantina,World
Bohemian Betyars,https://schedule.sxsw.com/2018/artists/18211,"Mar 16, 2018",1:00am , 1:50am,Palm Door on Sabine,World
Bombasta,https://schedule.sxsw.com/2018/artists/23481,"Mar 17, 2018",8:00pm , 8:40pm,Flamingo Cantina,Funk
BONES (UK),https://schedule.sxsw.com/2018/artists/23100,"Mar 17, 2018",9:00pm , 9:40pm,Barracuda,Rock
Boniface,https://schedule.sxsw.com/2018/artists/21362,"Mar 12, 2018",9:00pm , 9:40pm,British Music Embassy @ Latitude 30,Pop
Boniface,https://schedule.sxsw.com/2018/artists/21362,"Mar 13, 2018",12:00am , 12:40am,Bungalow,Pop
Boniface,https://schedule.sxsw.com/2018/artists/21362,"Mar 15, 2018",9:00pm , 9:40pm,Blackheart,Pop
Boniface,https://schedule.sxsw.com/2018/artists/21362,"Mar 14, 2018",8:00pm , 8:40pm,Empire Control Room,Pop
Bonnie Whitmore & Her Band,https://schedule.sxsw.com/2018/artists/19851,"Mar 14, 2018",10:00pm , 10:40pm,Victorian Room at The Driskill,Rock
Boogat,https://schedule.sxsw.com/2018/artists/19103,"Mar 16, 2018",11:00pm , 11:40pm,Russian House,World
Boogat,https://schedule.sxsw.com/2018/artists/19103,"Mar 17, 2018",10:40pm , 11:10pm,Speakeasy,World
Booher,https://schedule.sxsw.com/2018/artists/21621,"Mar 16, 2018",1:00am , 1:50am,Hotel Vegas,Rock
BoomBaptist,https://schedule.sxsw.com/2018/artists/20970,"Mar 17, 2018",11:00pm , 11:40pm,Plush,Electronic
Boombox Cartel,https://schedule.sxsw.com/2018/artists/23018,"Mar 16, 2018",12:00am , 1:50am,The Main,Electronic
BOOMS Y CLAPS,https://schedule.sxsw.com/2018/artists/23207,"Mar 16, 2018",12:00am , 12:40am,Maggie Mae's,Electronic
Born Gifted,https://schedule.sxsw.com/2018/artists/23452,"Mar 14, 2018",8:50pm , 9:05pm,Tap Room at The Market,R & B
Boss Street Brass Band,https://schedule.sxsw.com/2018/artists/21130,"Mar 15, 2018",11:00pm , 11:40pm,Elephant Room,Funk
Boy Harsher,https://schedule.sxsw.com/2018/artists/21287,"Mar 15, 2018",11:15pm , 12:55am,Hotel Vegas,Electronic
BOYO,https://schedule.sxsw.com/2018/artists/22364,"Mar 17, 2018",12:00am , 12:40am,Waller Ballroom,Rock
BOYTOY,https://schedule.sxsw.com/2018/artists/21301,"Mar 16, 2018",11:00pm , 11:40pm,Waller Ballroom,Rock
BOYTOY,https://schedule.sxsw.com/2018/artists/21301,"Mar 17, 2018",1:00am , 1:50am,Cheer Up Charlie's,Rock
BOYTOY,https://schedule.sxsw.com/2018/artists/21301,"Mar 14, 2018",10:45pm , 11:15pm,Hotel Vegas at Volstead,Rock
BP Valenzuela,https://schedule.sxsw.com/2018/artists/19123,"Mar 13, 2018",11:00pm , 11:40pm,The Iron Bear,Electronic
BRAINWAVVE,https://schedule.sxsw.com/2018/artists/17774,"Mar 17, 2018",10:00pm , 10:40pm,Plush,Electronic
Branjae,https://schedule.sxsw.com/2018/artists/22723,"Mar 15, 2018",10:00pm , 10:40pm,Bungalow,Soul
Breakfast Muff,https://schedule.sxsw.com/2018/artists/18744,"Mar 12, 2018",8:00pm , 8:40pm,British Music Embassy @ Latitude 30,Punk
Breakfast Muff,https://schedule.sxsw.com/2018/artists/18744,"Mar 14, 2018",9:35pm , 10:05pm,Hotel Vegas Annex,Punk
Breaking Forms,https://schedule.sxsw.com/2018/artists/20285,"Mar 16, 2018",9:00pm , 9:40pm,CU29,Electronic
Breaking Forms,https://schedule.sxsw.com/2018/artists/20285,"Mar 17, 2018",10:30pm , 11:00pm,720 Club Patio,Electronic
Breakout,https://schedule.sxsw.com/2018/artists/22784,"Mar 17, 2018",10:15pm , 10:45pm,Hotel Vegas,Punk
Breanna Barbara,https://schedule.sxsw.com/2018/artists/21630,"Mar 17, 2018",12:00am , 12:40am,The Sidewinder Outside,Blues
Brent Cowles,https://schedule.sxsw.com/2018/artists/22549,"Mar 14, 2018",12:00am , 12:40am,Swan Dive,Americana
Brent Tactic,https://schedule.sxsw.com/2018/artists/23754,"Mar 16, 2018",8:00pm , 9:00pm,Plush,Electronic
Bre-Z,https://schedule.sxsw.com/2018/artists/22899,"Mar 17, 2018",1:10am , 1:50am,Tap Room at The Market,Hip Hop / Rap
Brian Merrill,https://schedule.sxsw.com/2018/artists/23048,"Mar 17, 2018",8:00pm , 8:40pm,The Sidewinder Outside,Pop
Brian Pounds,https://schedule.sxsw.com/2018/artists/19461,"Mar 17, 2018",1:00am , 1:50am,Saxon Pub,Folk
The Bright Light Social Hour,https://schedule.sxsw.com/2018/artists/23299,"Mar 16, 2018",10:00pm , 10:40pm,Scoot Inn,Rock
Brik.Liam,https://schedule.sxsw.com/2018/artists/22808,"Mar 17, 2018",11:05pm , 11:45pm,18th Over Austin,R & B
The Britanys,https://schedule.sxsw.com/2018/artists/17834,"Mar 14, 2018",11:00pm , 11:40pm,Seven Grand,Rock
BRONCHO,https://schedule.sxsw.com/2018/artists/21536,"Mar 14, 2018",12:00am , 12:40am,Parish,Rock
BRONCHO,https://schedule.sxsw.com/2018/artists/21536,"Mar 17, 2018",10:00pm , 10:40pm,Clive Bar,Rock
BRONCHO,https://schedule.sxsw.com/2018/artists/21536,"Mar 15, 2018",1:00am , 1:50am,Bungalow,Rock
Brooke Annibale,https://schedule.sxsw.com/2018/artists/18694,"Mar 14, 2018",9:00pm , 9:40pm,18th Over Austin,Singer Songwriter
Brooks Mosher b2b Submersible Machines,https://schedule.sxsw.com/2018/artists/23331,"Mar 14, 2018",9:00pm , 10:30pm,Plush,DJ
The Brother Brothers,https://schedule.sxsw.com/2018/artists/19971,"Mar 13, 2018",9:00pm , 9:40pm,Victorian Room at The Driskill,Americana
Brother Sundance,https://schedule.sxsw.com/2018/artists/21058,"Mar 13, 2018",11:00pm , 11:40pm,The Main II,Pop
Brownout,https://schedule.sxsw.com/2018/artists/22416,"Mar 14, 2018",11:15pm , 11:55pm,Mohawk Outdoor,Latin Rock
Bruno Belissimo,https://schedule.sxsw.com/2018/artists/19832,"Mar 14, 2018",1:00am , 1:50am,The Velveeta Room,Electronic
Bryann Trejo,https://schedule.sxsw.com/2018/artists/23159,"Mar 16, 2018",11:25pm , 11:45pm,University Avenue Church of Christ,Gospel
Bubble Puppy,https://schedule.sxsw.com/2018/artists/20406,"Mar 15, 2018",7:00pm , 7:40pm,Hotel Vegas Patio,Rock
Buck Meek,https://schedule.sxsw.com/2018/artists/22965,"Mar 17, 2018",8:00pm , 8:40pm,Lamberts,Singer Songwriter
Buddy,https://schedule.sxsw.com/2018/artists/19720,"Mar 16, 2018",11:50pm , 12:20am,Empire Control Room,Hip Hop / Rap
Buddy,https://schedule.sxsw.com/2018/artists/19720,"Mar 14, 2018",12:30am , 12:50am,Tap Room at The Market,Hip Hop / Rap
Buddy,https://schedule.sxsw.com/2018/artists/19720,"Mar 15, 2018",11:30pm , 12:00am,800 Congress,Hip Hop / Rap
Buddy,https://schedule.sxsw.com/2018/artists/19720,"Mar 13, 2018",12:25am , 12:55am,Ironwood Hall,Hip Hop / Rap
Buddy Lofton,https://schedule.sxsw.com/2018/artists/20665,"Mar 16, 2018",9:15pm , 9:25pm,Highland Lounge,Hip Hop / Rap
Buenos Diaz,https://schedule.sxsw.com/2018/artists/20891,"Mar 13, 2018",10:00pm , 10:40pm,Saxon Pub,Rock
Buffalo Blanco,https://schedule.sxsw.com/2018/artists/23303,"Mar 14, 2018",8:00pm , 8:40pm,Speakeasy,Latin Rock
BUHU,https://schedule.sxsw.com/2018/artists/20924,"Mar 13, 2018",8:30pm , 9:00pm,Cheer Up Charlie's,Electronic
BUHU (DJ Set),https://schedule.sxsw.com/2018/artists/23385,"Mar 13, 2018",1:00am , 1:50am,Cheer Up Charlie's,DJ
Built By Snow,https://schedule.sxsw.com/2018/artists/17928,"Mar 12, 2018",10:45pm , 11:25pm,The Sidewinder Outside,Rock
Bully,https://schedule.sxsw.com/2018/artists/22834,"Mar 12, 2018",8:30pm , 9:10pm,Mohawk Outdoor,Rock
Bully,https://schedule.sxsw.com/2018/artists/22834,"Mar 15, 2018",9:00pm , 9:40pm,Scoot Inn,Rock
Bun B,https://schedule.sxsw.com/2018/artists/22934,"Mar 14, 2018",1:00am , 1:50am,Highland Lounge,Hip Hop / Rap
Bun B + Special Guests,https://schedule.sxsw.com/2018/artists/23831,"Mar 16, 2018",8:00pm , 1:50am,Ironwood Hall,Hip Hop / Rap
The Buttertones,https://schedule.sxsw.com/2018/artists/19755,"Mar 15, 2018",10:00pm , 10:40pm,Central Presbyterian Church,Rock
Buxton,https://schedule.sxsw.com/2018/artists/23125,"Mar 14, 2018",8:30pm , 9:10pm,Lamberts,Americana
The Bvtcher,https://schedule.sxsw.com/2018/artists/22947,"Mar 17, 2018",10:00pm , 10:40pm,Dirty Dog Bar,Metal
Caamp,https://schedule.sxsw.com/2018/artists/22932,"Mar 16, 2018",6:00pm , 6:25pm,The SXSW Outdoor Stage presented by MGM Resorts,Folk
Caddywhompus,https://schedule.sxsw.com/2018/artists/19608,"Mar 17, 2018",10:00pm , 10:40pm,The Sidewinder Outside,Avant / Experimental
Cadence Weapon,https://schedule.sxsw.com/2018/artists/22112,"Mar 15, 2018",12:00am , 12:40am,Swan Dive Patio,Hip Hop / Rap
Caitlyn Smith,https://schedule.sxsw.com/2018/artists/22717,"Mar 16, 2018",11:00pm , 11:30pm,Trinity Warehouse,Singer Songwriter
Caitlyn Smith,https://schedule.sxsw.com/2018/artists/22717,"Mar 13, 2018",9:30pm , 10:10pm,The Gatsby,Singer Songwriter
Calan Mai,https://schedule.sxsw.com/2018/artists/21666,"Mar 15, 2018",11:00pm , 11:40pm,Stephen F's Bar,Rock
Caleb Caudle,https://schedule.sxsw.com/2018/artists/22414,"Mar 14, 2018",9:00pm , 9:40pm,Cooper's BBQ,Americana
Caleborate,https://schedule.sxsw.com/2018/artists/22729,,None,TBD,TBD,Hip Hop / Rap
Calliope Musicals,https://schedule.sxsw.com/2018/artists/22820,"Mar 13, 2018",11:00pm , 11:50pm,Central Presbyterian Church,Rock
CALMLY,https://schedule.sxsw.com/2018/artists/20326,"Mar 15, 2018",11:00pm , 11:40pm,720 Club,Rock
Calvin & Kimberly,https://schedule.sxsw.com/2018/artists/22895,"Mar 16, 2018",8:45pm , 9:05pm,University Avenue Church of Christ,Gospel
Calvin Martyr,https://schedule.sxsw.com/2018/artists/23242,"Mar 16, 2018",9:20pm , 9:35pm,University Avenue Church of Christ,Gospel
Cam,https://schedule.sxsw.com/2018/artists/22587,"Mar 16, 2018",12:00am , 12:30am,Trinity Warehouse,Country
Candace,https://schedule.sxsw.com/2018/artists/19411,"Mar 17, 2018",11:00pm , 11:40pm,Cheer Up Charlie's Inside,Rock
Candy West,https://schedule.sxsw.com/2018/artists/22940,"Mar 16, 2018",8:10pm , 8:40pm,Carver Museum Boyd Vance Theater,Gospel
Canon,https://schedule.sxsw.com/2018/artists/23133,"Mar 14, 2018",11:25pm , 11:40pm,Buffalo Billiards,Hip Hop / Rap
Canshaker Pi,https://schedule.sxsw.com/2018/artists/20190,"Mar 14, 2018",11:00pm , 11:40pm,Waller Ballroom,Rock
Canshaker Pi,https://schedule.sxsw.com/2018/artists/20190,"Mar 16, 2018",10:30pm , 11:05pm,Hotel Vegas,Rock
The Canvas People,https://schedule.sxsw.com/2018/artists/19413,"Mar 17, 2018",8:00pm , 8:40pm,The Velveeta Room,Rock
Cape Francis,https://schedule.sxsw.com/2018/artists/18370,"Mar 14, 2018",11:00pm , 11:40pm,Malverde,Folk
CAPYAC,https://schedule.sxsw.com/2018/artists/21270,"Mar 15, 2018",1:00am , 1:40am,Malverde,Electronic
CAPYAC,https://schedule.sxsw.com/2018/artists/21270,"Mar 17, 2018",8:30pm , 9:15pm,Native Hostel,Electronic
CAPYAC (DJ Set),https://schedule.sxsw.com/2018/artists/23577,"Mar 16, 2018",10:30pm , 11:30pm,Kingdom,Electronic
"Carlos Trevino (Austin, TX) vs Manuel Rubalacava (Mexico)",https://schedule.sxsw.com/2018/artists/23850,"Mar 17, 2018",None,TBD,TBD,TBD
Carnage,https://schedule.sxsw.com/2018/artists/23640,"Mar 15, 2018",12:40am , 1:50am,Stubb's,Hip Hop / Rap
Caroline Rose,https://schedule.sxsw.com/2018/artists/20177,"Mar 15, 2018",11:00pm , 11:40pm,Empire Control Room,Rock
Caroline Rose,https://schedule.sxsw.com/2018/artists/20177,"Mar 14, 2018",9:00pm , 9:40pm,Banger's,Rock
Carson McHone,https://schedule.sxsw.com/2018/artists/21656,"Mar 15, 2018",10:45pm , 11:30pm,Cooper's BBQ,Americana
CASEROLOOPS,https://schedule.sxsw.com/2018/artists/20495,"Mar 16, 2018",8:00pm , 8:40pm,Flamingo Cantina,Electronic
CASEROLOOPS,https://schedule.sxsw.com/2018/artists/20495,"Mar 17, 2018",1:00am , 1:40am,Javelina,Electronic
Casey Jay,https://schedule.sxsw.com/2018/artists/23167,"Mar 17, 2018",9:15pm , 9:45pm,Carver Museum Boyd Vance Theater,Hip Hop / Rap
Casper Skulls,https://schedule.sxsw.com/2018/artists/22685,"Mar 14, 2018",11:00pm , 11:40pm,Swan Dive,Rock
Cassandra Jenkins,https://schedule.sxsw.com/2018/artists/18801,"Mar 15, 2018",8:00pm , 8:40pm,Valhalla,Singer Songwriter
Cassandra Jenkins,https://schedule.sxsw.com/2018/artists/18801,"Mar 16, 2018",12:10am , 12:40am,Javelina,Singer Songwriter
Cassandra Robertson,https://schedule.sxsw.com/2018/artists/23284,"Mar 15, 2018",10:30pm , 10:50pm,University Avenue Church of Christ,Gospel
Casual Strangers,https://schedule.sxsw.com/2018/artists/17283,"Mar 16, 2018",1:00am , 1:50am,The Hideout,Avant / Experimental
Casual T,https://schedule.sxsw.com/2018/artists/23517,"Mar 13, 2018",9:30pm , 10:00pm,Barcelona,Electronic
Catholic Action,https://schedule.sxsw.com/2018/artists/20579,"Mar 12, 2018",10:00pm , 10:40pm,British Music Embassy @ Latitude 30,Rock
Catholic Action,https://schedule.sxsw.com/2018/artists/20579,"Mar 14, 2018",10:25pm , 11:05pm,Hotel Vegas Annex,Rock
Catz 'N Dogz,https://schedule.sxsw.com/2018/artists/23304,"Mar 17, 2018",11:00pm , 1:50am,Kingdom,Electronic
Caught A Ghost,https://schedule.sxsw.com/2018/artists/23738,"Mar 13, 2018",7:45pm , 8:10pm,Empire Garage,Soul
Cazzette,https://schedule.sxsw.com/2018/artists/23718,"Mar 14, 2018",12:30am , 1:45am,Kingdom,Electronic
Cedric Burnside,https://schedule.sxsw.com/2018/artists/21003,"Mar 17, 2018",12:00am , 12:40am,Seven Grand,Blues
Centavrvs,https://schedule.sxsw.com/2018/artists/22733,"Mar 14, 2018",12:00am , 12:40am,Karma Lounge,Electronic
Centavrvs,https://schedule.sxsw.com/2018/artists/22733,"Mar 15, 2018",5:15pm , 5:55pm,The SXSW Outdoor Stage presented by MGM Resorts,Electronic
Ceramic Animal,https://schedule.sxsw.com/2018/artists/21329,"Mar 12, 2018",8:55pm , 9:20pm,Pour Choices,Rock
Ceramic Animal,https://schedule.sxsw.com/2018/artists/21329,"Mar 13, 2018",9:45pm , 10:25pm,720 Club Patio,Rock
Ceschi,https://schedule.sxsw.com/2018/artists/22660,"Mar 15, 2018",12:45am , 1:50am,Karma Lounge,Hip Hop / Rap
Cha Cha Malone,https://schedule.sxsw.com/2018/artists/23465,"Mar 17, 2018",None,TBD,TBD,Singer Songwriter
Chadney Christle,https://schedule.sxsw.com/2018/artists/22609,"Mar 17, 2018",9:15pm , 9:35pm,18th Over Austin,Soul
Chagall,https://schedule.sxsw.com/2018/artists/23554,"Mar 13, 2018",12:00am , 12:40am,Waller Ballroom,Electronic
CHAI,https://schedule.sxsw.com/2018/artists/22500,"Mar 17, 2018",8:15pm , 8:45pm,Hotel Vegas Annex,Pop
CHAI,https://schedule.sxsw.com/2018/artists/22500,"Mar 15, 2018",12:00am , 12:40am,Maggie Mae's,Pop
Chainska Brassika,https://schedule.sxsw.com/2018/artists/19267,"Mar 17, 2018",1:00am , 1:40am,Flamingo Cantina,Ska
The Chamanas,https://schedule.sxsw.com/2018/artists/20945,"Mar 14, 2018",9:00pm , 9:40pm,Speakeasy,Latin Rock
Champagne Superchillin',https://schedule.sxsw.com/2018/artists/23179,"Mar 17, 2018",10:30pm , 11:00pm,Cheer Up Charlie's,World
Charles Fauna,https://schedule.sxsw.com/2018/artists/18383,"Mar 14, 2018",8:00pm , 8:40pm,Malverde,Electronic
Charlie Faye & The Fayettes,https://schedule.sxsw.com/2018/artists/18580,"Mar 17, 2018",12:00am , 12:40am,Continental Club,Americana
Charlie Faye & The Fayettes,https://schedule.sxsw.com/2018/artists/18580,"Mar 16, 2018",11:00pm , 11:40pm,Saxon Pub,Americana
Chaz-O,https://schedule.sxsw.com/2018/artists/23339,"Mar 15, 2018",8:50pm , 9:05pm,Buffalo Billiards,Hip Hop / Rap
Che Lingo,https://schedule.sxsw.com/2018/artists/22980,"Mar 16, 2018",12:00am , 12:40am,Bungalow,Hip Hop / Rap
Che Lingo,https://schedule.sxsw.com/2018/artists/22980,"Mar 14, 2018",9:00pm , 9:40pm,House of Because,Hip Hop / Rap
Che Lingo,https://schedule.sxsw.com/2018/artists/22980,"Mar 13, 2018",12:00am , 12:40am,British Music Embassy @ Latitude 30,Hip Hop / Rap
Chelsea Williams,https://schedule.sxsw.com/2018/artists/21539,"Mar 16, 2018",8:00pm , 8:40pm,Cooper's BBQ,Singer Songwriter
Chencha Berrinches,https://schedule.sxsw.com/2018/artists/21953,"Mar 16, 2018",9:00pm , 9:40pm,Russian House,Ska
Cheryl Rivera,https://schedule.sxsw.com/2018/artists/23317,"Mar 16, 2018",8:00pm , 8:40pm,Speakeasy,Singer Songwriter
Cheryl Rivera,https://schedule.sxsw.com/2018/artists/23317,"Mar 14, 2018",9:00pm , 9:40pm,Stephen F's Bar,Singer Songwriter
CHICKEN HILL,https://schedule.sxsw.com/2018/artists/23746,"Mar 17, 2018",10:15pm , 10:45pm,Maggie Mae's,Hip Hop / Rap
Chico Chico,https://schedule.sxsw.com/2018/artists/18809,"Mar 15, 2018",9:00pm , 9:40pm,Elephant Room,Jazz
ChihiroYamazaki+ROUTE14band,https://schedule.sxsw.com/2018/artists/17437,"Mar 17, 2018",1:00am , 1:50am,Elephant Room,Jazz
